# EX_2 Moshe Israeli   123456789
_if.data_out_check, _if.data_out, _if.data_out_check == _if.data_out
--------------------------------------------------------------------
          6,		          x,		 x
          4,		          x,		 x
         11,		          x,		 x
          7,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
          0,		          x,		 x
