# EX_3 part 1 yedidya krimolovski   315212795
_if.data_out_check, _if.data_out, _if.data_out_check == _if.data_out
--------------------------------------------------------------------
          7,		          X,		 x
          9,		          X,		 x
         11,		          X,		 x
         14,		          X,		 x
         11,		          X,		 x
          8,		          X,		 x
         14,		         14,		 1
         10,		          X,		 x
         11,		          X,		 x
         11,		          X,		 x
         10,		          X,		 x
         10,		          X,		 x
         10,		          X,		 x
         10,		          X,		 x
         11,		          X,		 x
         10,		          X,		 x
         12,		          X,		 x
         10,		          X,		 x
          5,		          5,		 1
         11,		          X,		 x
         12,		          X,		 x
          9,		          X,		 x
          1,		          X,		 x
          8,		          8,		 1
         11,		          X,		 x
         12,		          X,		 x
         13,		          X,		 x
          9,		          X,		 x
         10,		          X,		 x
         11,		          X,		 x
         12,		          X,		 x
         15,		         15,		 1
          6,		          6,		 1
         11,		          X,		 x
          9,		          X,		 x
         15,		          X,		 x
         12,		          X,		 x
          9,		          9,		 1
         10,		          X,		 x
          9,		          X,		 x
         13,		          X,		 x
         10,		          X,		 x
          9,		          9,		 1
         10,		          X,		 x
         10,		          X,		 x
          7,		          7,		 1
          8,		          8,		 1
         11,		          X,		 x
         12,		          X,		 x
          8,		          X,		 x
         10,		          X,		 x
         12,		          X,		 x
         13,		          X,		 x
         11,		          X,		 x
         15,		          X,		 x
         10,		          X,		 x
          6,		          6,		 1
          9,		          9,		 1
         10,		          X,		 x
         10,		          X,		 x
         12,		          X,		 x
          9,		          X,		 x
          9,		          X,		 x
          7,		          X,		 x
          8,		          8,		 1
          9,		          9,		 1
          9,		          9,		 1
          5,		          5,		 1
         10,		          X,		 x
         10,		          X,		 x
          9,		          X,		 x
         12,		          X,		 x
         11,		          X,		 x
         10,		         10,		 1
         10,		          X,		 x
         11,		          X,		 x
         13,		          X,		 x
          9,		          X,		 x
          7,		          7,		 1
          8,		          8,		 1
          9,		          X,		 x
         10,		          X,		 x
         10,		          X,		 x
         10,		          X,		 x
         13,		         13,		 1
         11,		          X,		 x
         10,		          X,		 x
          9,		          9,		 1
         12,		          X,		 x
         11,		          X,		 x
         11,		          X,		 x
          6,		          X,		 x
          9,		          X,		 x
         10,		          X,		 x
         11,		          X,		 x
         11,		          X,		 x
         10,		          X,		 x
         15,		         15,		 1
         11,		          X,		 x
         12,		          X,		 x
